date,soi,wind_wpac,wind_cpac,wind_epac
2003-05-01,-0.30,-0.20,0.70,0.60
2003-06-01,-0.60,-0.40,-1.60,-1.80
2003-07-01,0.30,0.40,0.80,-1.20
2003-08-01,0.10,0.20,-0.60,-0.80
2003-09-01,-0.10,0.20,-0.70,-1.20
2003-10-01,0.00,0.20,-0.50,-1.10
2003-11-01,-0.30,-0.40,0.20,-1.20
2003-12-01,1.10,1.80,2.40,-0.30
2004-01-01,-1.30,-0.40,-1.00,-0.60
2004-02-01,1.20,0.40,2.00,-0.10
2004-03-01,0.40,-0.60,2.00,1.00
2004-04-01,-0.90,-1.70,1.20,0.50
2004-05-01,1.00,1.20,1.00,0.00
2004-06-01,-0.80,-2.60,1.30,1.00
2004-07-01,-0.50,-0.60,-1.80,-2.10
2004-08-01,-0.30,-1.80,-0.00,0.10
2004-09-01,-0.30,-0.30,-0.00,-0.60
2004-10-01,-0.10,-2.40,-0.30,-0.40
2004-11-01,-0.70,-1.00,0.40,-0.90
2004-12-01,-0.80,-0.10,-1.30,-0.30
2005-01-01,0.30,-0.90,0.60,0.50
2005-02-01,-3.10,-4.00,-1.60,1.30
2005-03-01,0.30,0.10,-0.20,-0.60
2005-04-01,-0.60,-1.00,1.60,0.30
2005-05-01,-0.80,0.60,-0.10,-0.50
2005-06-01,0.40,1.60,0.30,-1.50
2005-07-01,0.20,0.60,1.00,-0.60
2005-08-01,-0.30,-0.20,-0.70,-1.50
2005-09-01,0.40,-0.20,0.40,-0.20
2005-10-01,1.20,1.60,1.40,-0.70
2005-11-01,-0.20,1.40,1.30,0.70
2005-12-01,-0.00,3.70,2.10,-0.20
2006-01-01,1.70,2.30,2.80,-1.20
2006-02-01,0.10,1.30,1.70,-0.60
2006-03-01,1.80,1.00,1.90,1.40
2006-04-01,1.10,1.80,1.50,0.30
2006-05-01,-0.50,-0.70,-0.20,-1.50
2006-06-01,-0.20,0.20,1.00,0.20
2006-07-01,-0.60,-2.10,-1.20,-2.60
2006-08-01,-1.00,-2.10,-1.10,-2.30
2006-09-01,-0.60,-1.30,0.50,0.30
2006-10-01,-1.30,-2.80,-1.90,-1.00
2006-11-01,0.10,-0.90,-1.10,-2.60
2006-12-01,-0.30,1.80,1.00,-1.00
2007-01-01,-0.80,-0.30,1.30,-0.80
2007-02-01,-0.10,0.70,1.90,-0.50
2007-03-01,0.20,0.60,2.20,0.80
2007-04-01,-0.10,1.80,2.10,-0.70
2007-05-01,-0.10,0.30,1.10,-0.60
2007-06-01,0.50,2.70,2.10,0.70
2007-07-01,-0.30,1.40,0.10,-1.10
2007-08-01,0.40,1.40,1.20,0.70
2007-09-01,0.20,1.50,3.50,2.70
2007-10-01,0.70,1.80,1.60,0.50
2007-11-01,0.90,1.30,4.00,2.20
2007-12-01,1.70,5.90,3.40,0.20
2008-01-01,1.80,1.00,3.20,0.20
2008-02-01,2.60,4.30,3.10,-0.70
2008-03-01,1.40,4.50,1.90,-1.40
2008-04-01,0.70,3.30,1.90,-1.60
2008-05-01,-0.10,1.80,1.30,-1.80
2008-06-01,0.60,2.50,1.10,-1.10
2008-07-01,0.30,3.10,0.20,-1.40
2008-08-01,1.00,3.30,0.50,-1.70
2008-09-01,1.20,2.00,1.30,-0.40
2008-10-01,1.30,3.70,1.20,-1.20
2008-11-01,1.30,5.50,3.10,0.20
2008-12-01,1.40,3.40,2.80,-0.40
